,payrolls_nsa,payrolls_sa,implied_sa_factors,prediction_nsa,prediction_sa_factors,forecast_sa
1990-02-01,496.0,240.0,256.0,,,
1990-03-01,655.0,204.0,451.0,,,
1990-04-01,642.0,34.0,608.0,,,
1990-05-01,904.0,154.0,750.0,,,
1990-06-01,568.0,22.0,546.0,,,
1990-07-01,-1271.0,-35.0,-1236.0,,,
1990-08-01,-118.0,-209.0,91.0,,,
1990-09-01,595.0,-83.0,678.0,,,
1990-10-01,196.0,-146.0,342.0,,,
1990-11-01,-35.0,-155.0,120.0,,,
1990-12-01,-231.0,-54.0,-177.0,,,
1991-01-01,-2549.0,-110.0,-2439.0,,,
1991-02-01,-32.0,-323.0,291.0,,,
1991-03-01,288.0,-167.0,455.0,,,
1991-04-01,390.0,-218.0,608.0,,,
1991-05-01,681.0,-97.0,778.0,,,
1991-06-01,482.0,77.0,405.0,,,
1991-07-01,-1201.0,-40.0,-1161.0,,,
1991-08-01,91.0,9.0,82.0,,,
1991-09-01,716.0,36.0,680.0,,,
1991-10-01,370.0,26.0,344.0,,,
1991-11-01,15.0,-61.0,76.0,,,
1991-12-01,-115.0,30.0,-145.0,,,
1992-01-01,-2387.0,35.0,-2422.0,,,
1992-02-01,256.0,-52.0,308.0,,,
1992-03-01,516.0,54.0,462.0,,,
1992-04-01,836.0,150.0,686.0,,,
1992-05-01,806.0,130.0,676.0,,,
1992-06-01,488.0,60.0,428.0,,,
1992-07-01,-1017.0,85.0,-1102.0,,,
1992-08-01,56.0,124.0,-68.0,,,
1992-09-01,785.0,36.0,749.0,,,
1992-10-01,587.0,186.0,401.0,,,
1992-11-01,239.0,145.0,94.0,,,
1992-12-01,-10.0,219.0,-229.0,,,
1993-01-01,-2167.0,288.0,-2455.0,,,
1993-02-01,604.0,258.0,346.0,,,
1993-03-01,434.0,-44.0,478.0,,,
1993-04-01,1004.0,296.0,708.0,,,
1993-05-01,963.0,271.0,692.0,,,
1993-06-01,589.0,171.0,418.0,,,
1993-07-01,-867.0,312.0,-1179.0,,,
1993-08-01,110.0,146.0,-36.0,,,
1993-09-01,991.0,249.0,742.0,,,
1993-10-01,664.0,285.0,379.0,,,
1993-11-01,345.0,254.0,91.0,,,
1993-12-01,150.0,336.0,-186.0,,,
1994-01-01,-2252.0,277.0,-2529.0,,,
1994-02-01,581.0,181.0,400.0,,,
1994-03-01,975.0,463.0,512.0,,,
1994-04-01,1078.0,344.0,734.0,,,
1994-05-01,1012.0,333.0,679.0,,,
1994-06-01,792.0,317.0,475.0,,,
1994-07-01,-946.0,369.0,-1315.0,,,
1994-08-01,309.0,295.0,14.0,,,
1994-09-01,1059.0,344.0,715.0,,,
1994-10-01,626.0,210.0,416.0,,,
1994-11-01,607.0,411.0,196.0,,,
1994-12-01,37.0,305.0,-268.0,,,
1995-01-01,-2308.0,332.0,-2640.0,,,
1995-02-01,660.0,189.0,471.0,,,
1995-03-01,756.0,214.0,542.0,,,
1995-04-01,831.0,157.0,674.0,,,
1995-05-01,723.0,-18.0,741.0,,,
1995-06-01,715.0,244.0,471.0,,,
1995-07-01,-1234.0,91.0,-1325.0,,,
1995-08-01,264.0,264.0,0.0,,,
1995-09-01,916.0,227.0,689.0,,,
1995-10-01,602.0,153.0,449.0,,,
1995-11-01,237.0,139.0,98.0,,,
1995-12-01,-3.0,160.0,-163.0,,,
1996-01-01,-2699.0,-8.0,-2691.0,,,
1996-02-01,941.0,420.0,521.0,,,
1996-03-01,804.0,255.0,549.0,,,
1996-04-01,837.0,166.0,671.0,,,
1996-05-01,1127.0,338.0,789.0,,,
1996-06-01,663.0,274.0,389.0,,,
1996-07-01,-1038.0,249.0,-1287.0,,,
1996-08-01,294.0,179.0,115.0,,,
1996-09-01,744.0,202.0,542.0,,,
1996-10-01,721.0,265.0,456.0,,,
1996-11-01,460.0,282.0,178.0,,,
1996-12-01,-21.0,196.0,-217.0,,,
1997-01-01,-2543.0,214.0,-2757.0,,,
1997-02-01,862.0,317.0,545.0,,,
1997-03-01,881.0,317.0,564.0,,,
1997-04-01,977.0,297.0,680.0,,,
1997-05-01,1079.0,272.0,807.0,,,
1997-06-01,650.0,256.0,394.0,,,
1997-07-01,-985.0,298.0,-1283.0,,,
1997-08-01,68.0,-28.0,96.0,,,
1997-09-01,1004.0,489.0,515.0,,,
1997-10-01,903.0,349.0,554.0,,,
1997-11-01,394.0,302.0,92.0,,,
1997-12-01,138.0,323.0,-185.0,,,
1998-01-01,-2551.0,257.0,-2808.0,,,
1998-02-01,777.0,211.0,566.0,,,
1998-03-01,723.0,148.0,575.0,,,
1998-04-01,1040.0,281.0,759.0,,,
1998-05-01,1083.0,400.0,683.0,,,
1998-06-01,663.0,230.0,433.0,,,
1998-07-01,-1071.0,135.0,-1206.0,,,
1998-08-01,240.0,335.0,-95.0,,,
1998-09-01,811.0,198.0,613.0,,,
1998-10-01,779.0,204.0,575.0,,,
1998-11-01,400.0,275.0,125.0,,,
1998-12-01,171.0,372.0,-201.0,,,
1999-01-01,-2748.0,104.0,-2852.0,,,
1999-02-01,984.0,419.0,565.0,,,
1999-03-01,715.0,116.0,599.0,,,
1999-04-01,1144.0,362.0,782.0,,,
1999-05-01,868.0,217.0,651.0,,,
1999-06-01,726.0,271.0,455.0,,,
1999-07-01,-869.0,337.0,-1206.0,,,
1999-08-01,57.0,151.0,-94.0,,,
1999-09-01,777.0,200.0,577.0,,,
1999-10-01,935.0,406.0,529.0,,,
1999-11-01,459.0,289.0,170.0,,,
1999-12-01,137.0,316.0,-179.0,,,
2000-01-01,-2640.0,228.0,-2868.0,,,
2000-02-01,662.0,110.0,552.0,,,
2000-03-01,1097.0,483.0,614.0,,,
2000-04-01,997.0,279.0,718.0,,,
2000-05-01,956.0,222.0,734.0,,,
2000-06-01,513.0,-43.0,556.0,,,
2000-07-01,-1221.0,166.0,-1387.0,,,
2000-08-01,10.0,6.0,4.0,,,
2000-09-01,671.0,104.0,567.0,,,
2000-10-01,558.0,14.0,544.0,,,
2000-11-01,365.0,204.0,161.0,,,
2000-12-01,-59.0,160.0,-219.0,,,
2001-01-01,-2875.0,-13.0,-2862.0,,,
2001-02-01,667.0,85.0,582.0,,,
2001-03-01,595.0,-37.0,632.0,,,
2001-04-01,405.0,-294.0,699.0,,,
2001-05-01,708.0,-48.0,756.0,,,
2001-06-01,379.0,-110.0,489.0,,,
2001-07-01,-1491.0,-128.0,-1363.0,,,
2001-08-01,-71.0,-150.0,79.0,,,
2001-09-01,267.0,-258.0,525.0,,,
2001-10-01,202.0,-311.0,513.0,,,
2001-11-01,-187.0,-308.0,121.0,,,
2001-12-01,-383.0,-161.0,-222.0,,,
2002-01-01,-2881.0,-124.0,-2757.0,,,
2002-02-01,470.0,-123.0,593.0,,,
2002-03-01,608.0,-14.0,622.0,,,
2002-04-01,588.0,-107.0,695.0,,,
2002-05-01,771.0,17.0,754.0,,,
2002-06-01,380.0,41.0,339.0,,,
2002-07-01,-1439.0,-90.0,-1349.0,,,
2002-08-01,86.0,-1.0,87.0,,,
2002-09-01,518.0,-79.0,597.0,,,
2002-10-01,672.0,114.0,558.0,,,
2002-11-01,120.0,-1.0,121.0,,,
2002-12-01,-410.0,-151.0,-259.0,,,
2003-01-01,-2680.0,108.0,-2788.0,,,
2003-02-01,417.0,-132.0,549.0,,,
2003-03-01,496.0,-206.0,702.0,,,
2003-04-01,658.0,-63.0,721.0,,,
2003-05-01,760.0,24.0,736.0,,,
2003-06-01,330.0,-11.0,341.0,,,
2003-07-01,-1337.0,-1.0,-1336.0,,,
2003-08-01,51.0,-31.0,82.0,,,
2003-09-01,653.0,100.0,553.0,,,
2003-10-01,794.0,187.0,607.0,,,
2003-11-01,165.0,41.0,124.0,,,
2003-12-01,-181.0,108.0,-289.0,,,
2004-01-01,-2658.0,167.0,-2825.0,,,
2004-02-01,611.0,64.0,547.0,,,
2004-03-01,1043.0,319.0,724.0,,,
2004-04-01,1115.0,273.0,842.0,,,
2004-05-01,903.0,285.0,618.0,,,
2004-06-01,443.0,97.0,346.0,,,
2004-07-01,-1159.0,59.0,-1218.0,,,
2004-08-01,19.0,87.0,-68.0,,,
2004-09-01,714.0,151.0,563.0,,,
2004-10-01,982.0,340.0,642.0,,,
2004-11-01,251.0,73.0,178.0,,,
2004-12-01,-233.0,125.0,-358.0,,,
2005-01-01,-2704.0,152.0,-2856.0,,,
2005-02-01,823.0,252.0,571.0,,,
2005-03-01,841.0,119.0,722.0,,,
2005-04-01,1212.0,367.0,845.0,,,
2005-05-01,812.0,170.0,642.0,,,
2005-06-01,671.0,258.0,413.0,,,
2005-07-01,-1059.0,353.0,-1412.0,,,
2005-08-01,250.0,203.0,47.0,,,
2005-09-01,625.0,51.0,574.0,,,
2005-10-01,731.0,89.0,642.0,,,
2005-11-01,558.0,356.0,202.0,,,
2005-12-01,-204.0,159.0,-363.0,,,
2006-01-01,-2652.0,268.0,-2920.0,,,
2006-02-01,927.0,305.0,622.0,,,
2006-03-01,980.0,305.0,675.0,,,
2006-04-01,916.0,172.0,744.0,,,
2006-05-01,803.0,41.0,762.0,,,
2006-06-01,503.0,86.0,417.0,,,
2006-07-01,-1175.0,194.0,-1369.0,,,
2006-08-01,206.0,164.0,42.0,,,
2006-09-01,668.0,136.0,532.0,,,
2006-10-01,701.0,17.0,684.0,,,
2006-11-01,386.0,215.0,171.0,,,
2006-12-01,-110.0,188.0,-298.0,,,
2007-01-01,-2791.0,223.0,-3014.0,,,
2007-02-01,692.0,86.0,606.0,,,
2007-03-01,899.0,224.0,675.0,,,
2007-04-01,805.0,63.0,742.0,,,
2007-05-01,944.0,148.0,796.0,,,
2007-06-01,500.0,76.0,424.0,,,
2007-07-01,-1396.0,-25.0,-1371.0,,,
2007-08-01,111.0,-31.0,142.0,,,
2007-09-01,564.0,88.0,476.0,,,
2007-10-01,745.0,76.0,669.0,,,
2007-11-01,312.0,114.0,198.0,,,
2007-12-01,-213.0,104.0,-317.0,,,
2008-01-01,-3028.0,-4.0,-3024.0,,,
2008-02-01,519.0,-64.0,583.0,,,
2008-03-01,592.0,-70.0,662.0,,,
2008-04-01,532.0,-219.0,751.0,,,
2008-05-01,575.0,-187.0,762.0,,,
2008-06-01,195.0,-153.0,348.0,,,
2008-07-01,-1481.0,-200.0,-1281.0,,,
2008-08-01,-107.0,-287.0,180.0,,,
2008-09-01,53.0,-449.0,502.0,,,
2008-10-01,295.0,-469.0,764.0,,,
2008-11-01,-679.0,-750.0,71.0,,,
2008-12-01,-1032.0,-696.0,-336.0,,,
2009-01-01,-3691.0,-769.0,-2922.0,,,
2009-02-01,-231.0,-761.0,530.0,,,
2009-03-01,-132.0,-825.0,693.0,,,
2009-04-01,183.0,-671.0,854.0,,,
2009-05-01,272.0,-353.0,625.0,,,
2009-06-01,-181.0,-461.0,280.0,,,
2009-07-01,-1596.0,-345.0,-1251.0,,,
2009-08-01,-121.0,-190.0,69.0,,,
2009-09-01,355.0,-225.0,580.0,,,
2009-10-01,600.0,-185.0,785.0,,,
2009-11-01,49.0,-4.0,53.0,,,
2009-12-01,-549.0,-250.0,-299.0,,,
2010-01-01,-2867.0,-6.0,-2861.0,,,
2010-02-01,437.0,-97.0,534.0,,,
2010-03-01,832.0,160.0,672.0,,,
2010-04-01,1122.0,255.0,867.0,,,
2010-05-01,1116.0,523.0,593.0,,,
2010-06-01,119.0,-134.0,253.0,,,
2010-07-01,-1335.0,-94.0,-1241.0,,,
2010-08-01,63.0,1.0,62.0,,,
2010-09-01,492.0,-74.0,566.0,,,
2010-10-01,973.0,279.0,694.0,,,
2010-11-01,308.0,128.0,180.0,,,
2010-12-01,-309.0,81.0,-390.0,,,
2011-01-01,-2862.0,7.0,-2869.0,,,
2011-02-01,815.0,219.0,596.0,,,
2011-03-01,907.0,226.0,681.0,,,
2011-04-01,1216.0,315.0,901.0,,,
2011-05-01,683.0,107.0,576.0,,,
